en,ja
protocol version,プロトコルバージョン
protocol,プロトコル
prototype code,プロトタイプコード
prototype,プロトタイプ
proximity ranking,近接順序
proximity ranking,適合性ランキング
pseudo-types,疑似データ型
psql,psql
public domain,パブリックドメイン
public schema,パブリックスキーマ
public-key algorithms,公開キーアルゴリズム
push down,プッシュダウン
push,プッシュ
Python,Python
qualification,制約 制限事項
qualifications,検索条件
qualified JOINs,修飾結合
qualified name,修飾名
qualifier,修飾子
qualify,修飾
quantified atoms,量化アトム
quantifier,量指定子
quarter,クォータ
queried,問い合わせ
query buffer,問い合わせバッファ
query hash,クエリハッシュ
query Optimizer,問い合わせ最適化
query plan,クエリプラン
query plan,問い合わせ計画
query rewrite rule,問合わせ書き換えルール
query rewriting,問い合わせ書き換え
query terms,検索語
query text,クエリテキスト
query tree,問い合わせツリー
query,クエリ
query,クエリー
query,問い合わせ
query,問合わせ
queue,キュー
quota,クォータ
quote,クォート
quote,クオート
radians,ラジアン
RAID array,RAIDアレー
RAID array,RAIDアレイ
ram disk,ラムディスク
random access,ランダムアクセス
random page cost,ランダムページコスト
random sample,ランダムサンプル
random seed,ランダムシード
random,ランダム
random-data,ランダムデータ
range table,レンジテーブル
range,レンジ
rank,ランク
ranking,ランキング
rapid prototyping,ラピッドプロトタイプ
rate,レート
read committed mode,リードコミッティドモード
read committed transaction,リードコミッティドトランザクション
read committed,リードコミッティド
read uncommitted,リードアンコミッティド
read/write conflicts,読み取り/書き込み競合
reader,リーダ
readline,readline
Real-time clock,リアルタイムクロック
Real-time,リアルタイム
realm parameter,レルムパラメータ
realm,レルム
receiver,レシーバ
recheck,recheck
recognizes,認識
recombination,再組合せ
record field,レコードフィールド
record sets,レコードセット
record,レコード
record-based,レコードベース
recovering transactions,リカバリトランザクション
recovery code,リカバリコード
recovery command file,リカバリコマンドファイル
recovery mode,リカバリモード
recovery point,リカバリポイント
recovery process,リカバリプロセス
recovery script,リカバリスクリプト
recovery software,リカバリーソフトウェア
recovery target,リカバリターゲット
recovery,リカバリ
recovery,リカバリー
rectangle,長方形
recursive term,再帰的表現（recursive term）
redirect,リダイレクト
redirection,リダイレクション
reference page,リファレンスページ
reference,リファレンス
referenced,被参照
referencing,参照
referential integrity constraints,参照整合性制約
referential integrity,参照整合性
refresh,リフレッシュ
register-stack,レジスタスタック
registry entries,レジストリエントリ
registry,レジストリ
regression test suite,リグレッションテストスイート
regression test,リグレッションテスト
regression,リグレッション
regression,レグレッション
regular expression,正規表現
relation cache,リレーションキャッシュ
relation data,リレーションデータ
relation file,リレーションファイル
relation fork,リレーションフォーク
relation options,リレーションオプション
relation page,リレーションページ
relation scheme,リレーションスキーマ
relation scheme,リレーションスキーム
relation size,リレーションサイズ
relation,リレーション
relation-level,リレーションレベル
relational algebra,リレーショナル代数
relational calculus,リレーショナル論理
relational data model,リレーショナルデータモデル
relational database management system,リレーショナルデータベースマネージメントシステム
relational database systems,リレーショナルデータベースシステム
relational database,リレーショナルデータベース
relational mode,リレーショナルモデル
relational tables,リレーショナルテーブル
relational,リレーショナル
relations,リレーション
relationship,関連
relationships,リレーション
relay,リレー
release branch,リリースブランチ
release file,リリースファイル
release levels,リリースレベル
release notes,リリースノート
release,リリース
reliability,信頼性
reload,リロード
relocatable,再配置可能
remote access,リモートアクセス
remote cursor,リモートカーソル
remote data source,リモートデータソース
remote database,リモートデータベース
remote error message,リモートエラーメッセージ
remote host,リモートホスト
remote machine,リモートマシン
remote server,リモートサーバ
remote system,リモートシステム
remote table,リモートテーブル
remote transaction,リモートトランザクション
remote user,リモートユーザ
remote,リモート
Rendezvous,ランデブー
Renesas,ルネサス
repeatable read mode,リピータブルリードモード
repeatable read transaction,リピータブルリードトランザクション
repeatable read,リピータブルリード
repeatable read,リピータブルリードレベル
replay,リプレイ
replica,レプリカ
replication commands,レプリケーションコマンド
replication data,レプリケーションデータ
replication options,レプリケーションオプション
replication protocol command,レプリケーションプロトコルコマンド
replication protocol,レプリケーションプロトコル
replication slot data,レプリケーションスロットデータ
replication slot,レプリケーションスロット
replication solutions,レプリケーションソリューション
replication standby,レプリケーションスタンバイ
replication systems,レプリケーションシステム
replication,レプリケーション
report,レポート
repository,リポジトリ
repository,レポジトリ
representation,表現形式
request,リクエスト
request,要求
reserved,予約
reset,リセット
resolver,リゾルバ
resource manager,リソースマネージャ
resources private,プライベートリソース
resources,リソース
response,回答
restart option,リスタートオプション
restart point,リスタートポイント
restart,リスタート
restartpoints,リスタートポイント
restore point,リストアポイント
restore,リストア
restriction,制約、制限
retreival,抽出
retry flags,リトライフラグ
retry,リトライ
return code,リターンコード
return type,戻り値の型
return,結果
reverse-engineer,リバースエンジニアリング
review,レビュー
revision,リビジョン
rewrite system,書き換えシステム
rewriter,リライタ
risk,リスク
role members,ロールメンバ
role members,ロールメンバー
role password,ロールパスワード
role system,ロールシステム
role tables,ロールテーブル
role,ロール
roles,ロール
roll forward,ロールフォーワード
roll forward,ロールフォワード
roll,ロール
roll-forward recovery,ロールフォワードリカバリ
rollback,ロールバック
Romanian,ルーマニア
Rome,ローマ
root block,ルートブロック
root directory,トップディレクトリ
root directory,ルートディレクトリ
root level,ルートレベル
root node,ルートノード
root page,ルートページ
root user,ルートユーザ
root,ルート
rotate,ローテート
rotation,ローテーション
routine,ルーチン
routine,定常的
routing,ルーティング
row level lock,行レベルロック
row level,行レベル
row,行
row-level locks,行レベルロック
row-level,行レベル
row-type,行型
rows,行
rule action,ルールアクション
rule bodies,ルール本体
rule event,ルールイベント
rule system,ルールシステム
rule,ルール
rules,ルール
Run-time interface,ランタイムインタフェース
running function,ランニング関数
running total,累計
runtime,ランタイム
runtime,実行時
Russian,ロシア
safe,セーフ
salesman,セールスマン
Salt Bits,ソルトビット長
salt,ソルト
Samoa,サモア
sample application,サンプルアプリケーション
sample data,サンプルデータ
sample file,サンプルファイル
sample program,サンプルプログラム
sample shell,サンプルシェル
sample,サンプル
sampling error,サンプリングエラー
sampling,サンプリング
sanitizing,サニタイズ
San_Luis,サンルイス
savepoint,セーブポイント
savepoints,セーブポイント
Scala,スカラ
scalability,スケーラビリティ
scalability,スケールアウト性
scalar context,スカラコンテキスト
scalar data,スカラデータ
scalar expressions,スカラ式
scalar,スカラ
scalar,スカラー
scale factor,スケールファクタ
scale factor,スケールファクター
scale,位取り
scan cost,スキャンコスト
scan key,スキャンキー
scan keys,スキャンキー
scan logic,スキャンロジック
scan node,スキャンノード
scan plan,スキャンプラン
scan,スキャン
scanner,スキャナ
scanner,スキャナー
scenario,シナリオ
schedule lag time,スケジュールラグタイム
schedule,スケジュール
scheduler,スケジューラ
scheduling,スケジューリング
schema dump,スキーマダンプ
schema instance,スキーマインスタンス
schema mapping,スキーママッピング
schema metadata,スキーマメタデータ
schema object,スキーマオブジェクト
schema path,スキーマパス
schema support,スキーマサポート
schema view,スキーマビュー
schema,スキーマ
schemas,スキーマ
scope,スコープ
screen,スクリーン
Screw,Screw(ネジ)
script data,スクリプトデータ
script file meta commands,スクリプトファイルメタコマンド
script file,スクリプトファイル
script,スクリプト
scroll,スクロール
seamlessly,シームレス
search operators,検索演算子
search path,検索パス
search,検索
searching,探索
secondary indexes,補助的なインデックス
section,セクション
section,節
sector,セクタ
secure sockets layer,セキュアソケットレイア
secure,セキュア
security barrier views,セキュリティバリアビュー
security contexts,セキュリティコンテキスト
security design,セキュリティ・デザイン
security domain,セキュリティドメイン
security frameworks,セキュリティフレームワーク
security hole,セキュリティホール
security label providers,セキュリティラベルプロバイダ
security label,セキュリティラベル
security libraries,セキュリティライブラリ
security model,セキュリティモデル
security options,セキュリティオプション
security policy,セキュリティポリシー
security risk,セキュリティリスク
security service provider interface,セキュリティサービスプロバイダインタフェース
security team,セキュリティチーム
security view,セキュリティ・ビュー
security,セキュリティ
seed,シード
seek,シーク
segment file,セグメントファイル
segment size,セグメントサイズ
segment switch,セグメントスイッチ
segment,セグメント
segmentation fault,セグメンテーションフォルト
segments,セグメント
select list,選択リスト
select,セレクト
selection,選択
selection,淘汰
selectivity,選択性
selectivity,選択度
self join,自己結合
self-join,自己結合
semantic,セマンティック
semantics,セマンティクス
semantics,セマンティックス
semantics,セマンテックス
semaphore map,セマフォマップ
semaphore resource map,セマフォリソースマップ
semaphore set,セマフォセット
semaphore,セマフォ
semaphores,セマフォ
semi-joins,セミ結合
semicolon,セミコロン
separater,区切り文字
separator,セパレータ
sequence data,シーケンスデータ
sequence generator,シーケンスジェネレータ
sequence object,シーケンスオブジェクト
sequence parameters,シーケンスパラメータ
sequence,シーケンス
sequential scan,シーケンシャルスキャン
sequential scan,シーケンススキャン
sequential table scan,シーケンシャルテーブルスキャン
sequential,シーケンシャル
serial number,通番
serial,シリアル
serializable mode,シリアライザブルモード
serializable snapshot,シリアライザブルスナップショット
serializable transaction,シリアライザブルトランザクション
serializable,シリアライザブル
serialization anomaly,直列化異常
serialization failure,直列化の失敗
serialization mode,シリアライゼーションモード
series,シリーズ
server account,サーバアカウント
server applications,サーバアプリケーション
server code,サーバコード
server command line,サーバコマンドライン
server core dump,サーバコアダンプ
server crash,サーバクラッシュ
server daemon,サーバデーモン
server debug,サーバデバッグ
server encoding,サーバエンコーディング
server extensions,サーバエクステンション
server file,サーバファイル
server header files,サーバヘッダファイル
server hooks,サーバフック
server host,サーバホスト
server instance,サーバインスタンス
server key type,サーバキータイプ
server log files,サーバログファイル
server log,サーバーログ
server log,サーバログ
server machine,サーバマシン
server manual,サーバマニュアル
server memory,サーバメモリ
server messages,サーバメッセージ
server model,サーバモデル
server object,サーバオブジェクト
server option,サーバオプション
server panic,サーバパニック
server parameters,サーバパラメータ
server parser,サーバパーサ
server plug-in modules found,サーバプラグインモジュール
server process,サーバプロセス
server program,サーバプログラム
server programming interface,サーバプログラミングインタフェース
server programming,サーバプログラミング
server protocol,サーバプロトコル
server shutdown,サーバシャットダウン
server side,サーバサイド
server signaling,サーバシグナル
server socket files,サーバソケットファイル
server software,サーバソフトウェア
server storage,サーバストレージ
server support,サーバサポート
server systems,サーバシステム
server transaction,サーバトランザクション
server user,サーバユーザ
server version,サーババージョン
server,サーバ
server,サーバー
server-side encoding,サーバサイドエンコーディング
server-side,サーバサイド
service file,サービスファイル
service mode,サービスモード
service pack,サービスパック
service principal,サーバプリンシパル
service principal,サービスプリンシパル
service,サービス
session defaults,セッションデフォルト
session key packet,セッションキーパケット
session key,セッションキー
session level,セッションレベル
session processes,セッションプロセス
session traffic,セッショントラフィック
session user,セッションユーザ
session,セッション
session-local,セッションローカル
set encoding,セットエンコーディング
set support,セットサポート
set,セット
set-valued attributes,組属性
setup code,セットアップコード
setup program,セットアッププログラム
setup,セットアップ
SGML,SGML
shared catalogs,共有カタログ
shared library segments,共有ライブラリセグメント
shared library,共有ライブラリ
shared memory,共有メモリ
shared object,共有オブジェクト
shared resources,共有資源
sharp,シャープ
shell command line,シェルコマンドライン
shell command,シェルコマンド
shell program,シェルプログラム
shell script commands,シェルスクリプトコマンド
shell script,シェルスクリプト
shell tools,シェルツール
shell,シェル
shift,シフト
shipping,シッピング
short name path,ショートネームパス
short-circuiting,ショートサーキット
shortcut,ショートカット
shutdown,シャットダウン
signal handler,シグナルハンドラ
signal,シグナル
signature,シグネチャ
silent mode,サイレントモード
similarity,類似性
simple,シンプル
simulate,シミュレート
simulation,シミュレーション
Singapore,シンガポール
single master,シングルマスタ
single quote,単一引用符
single quotes,シングルクォート
single sign-on,シングルサインオン
single-byte server,シングルバイトサーバ
single-byte,シングルバイト
single-row mode,単一行モード
single-step mode,シングルステップモード
single-step,シングルステップ
single-threaded,シングルスレッド
single-user mode,シングルユーザモード
site,サイト
situation,シチュエーション
size,サイズ
skip,スキップ
slash command,スラッシュコマンド
slash,スラッシュ
slave,スレーブ
sleep,スリープ
slice,スライス
sliced bread,スライスパン
slot's logical decoding plugin,論理デコードプラグインスロット
slot,スロット
smart failover,スマートフェイルオーバー
smart shutdown,スマートシャットダウン
snapshot semantics,スナップショットセマンティックス
snapshot types,スナップショットタイプ
snapshot,snapshot
snapshot,スナップショット
socket directory,ソケットディレクトリ
socket file,ソケットファイル
socket interface,ソケットインタフェース
socket option,ソケットオプション
socket parameter,ソケットパラメータ
socket,ソケット
soft-mounting,ソフトマウント
software package,ソフトウェアパッケージ
software project,ソフトウェアプロジェクト
software systems,ソフトウェアシステム
software tools,ソフトウェアツール
software,ソフト
software,ソフトウェア
solid state device,ソリッドステートディスク
solid-state drives,ソリッドステートドライブ
solutions,ソリューション
sort key,ソートキー
sort node,ソートノード
sort options,ソートオプション
sort support,ソートサポート
sort,ソート
sorts,ソート
source code file,ソースコードファイル
source code hooks,ソースコードフック
source code repository,ソースコードリポジトリ
source code,ソースコード
source compilation,ソースコンパイル
source database,ソースデータベース
source directory,ソースディレクトリ
source file,ソースファイル
source package,ソースパッケージ
source text,ソーステキスト
source tree,ソースツリー
source,ソース
SP-GiST,SP-GiST
space,スペース
spacing,スペーシング
spain,スペイン
spam,spam
sparse,スパース
spell mode,スペルモード
spell,スペル
spell-check,スペルチェック
SPI,SPI
spinlock assembly code,スピンロックアセンブルコード
spinlock code,スピンロックコード
spinlock speed,スピンロックスピード
spinlock support,スピンロックサポート
spinlock,スピンロック
spooling,スプール
SQL command scripts,SQLコマンドスクリプト
SQL key words,SQLキーワード
SQL,SQL
SQL-injection,SQLインジェクション
square brackets,大括弧
stable,安定（stable）
stack overflow,スタックオーバーフロー
stack overrun,スタックオーバーラン
stack size,スタックサイズ
stack traceback,スタックトレースバック
stack,スタック
stamp,スタンプ
stand-alone,スタンドアローン
standalone hot backups,スタンドアローンホットバックアップ
standalone hot backups,スタンドアロンホットバックアップ
standalone mode,スタンドアローンモード
standalone program,スタンドアローンプログラム
standalone servers,スタントアロン・サーバ
standalone session,スタンドアロンセッション
standalone utility,スタンドアローンユーティリティ
standalone,スタンドアローン
standalone,スタンドアロン
standard error,標準エラー
Standard Generalized Markup Language,Standard Generalized Markup Language
standard input,標準入力
standard output,標準出力
standby cluster,スタンバイクラスタ
standby database server,スタンバイデータベースサーバ
standby instance,スタンバイインスタンス
standby mode,スタンバイモード
standby recovery,スタンバイリカバリ
standby replication server,スタンバイ・リプリケーションサーバ
standby server,スタンドバイサーバ
standby server,スタンバイサーバ
standby servers,スタンバイサーバ
standby system,スタンバイシステム
standby,スタンバイ
star label,スターラベル
star,スター
start menu,スタートメニュー
start,スタート
startup,スタートアップ
state transition function,状態遷移関数
state transition functions,状態遷移関数
state values,状態値
statement,ステートメント
statement,文
statement-level,文レベル
static,静的
statistics collector,統計情報コレクタ
statistics,統計情報
status message,ステータスメッセージ
status,ステータス
steady state,定常状態
stem,ステム
step by step,ステップバイステップ
step,ステップ
stop word,ストップワード
stop words,ストップワード
storage area networks,ストレージエリアネットワーク
storage area,格納領域
storage hardware,ストレージハードウェア
storage manager number,ストレッジマネジャ数
storage parameters,ストレージパラメータ
storage system,保存システム
storage,ストレージ
stored procedure support,ストアドプロシージャサポート
stored procedure,ストアドプロシージャ
stored procedures,ストアドプロシージャ
strategy,ストラテジ
strategy,戦略
stream object,ストリームオブジェクト
stream of data,ストリームデータ
stream,ストリーム
streaming access,ストリーミングアクセス
streaming replication,ストリーミングレプリケーション
streaming,ストリーミング
string,文字列
string-escaping routines,文字列エスケープルーチン
strip,ストリップ
stripe,ストライプ
struct varlena,varlena構造体
stub,スタブ
style guide,スタイルガイド
style of the unix tool,unixツールスタイル
style,スタイル
style,様式
stylesheet commands,スタイルシートコマンド
stylesheet,スタイルシート
sub,サブ
sub-object,サブオブジェクト
sub-partitions,サブパーティション
sub-protocol,サブプロトコル
sub-query,副問い合わせ
sub-routine module,サブルーチンモジュール
sub-values,部分値
subarrays,部分配列
subblock,副ブロック
subcategories,サブカテゴリ
subclass,サブクラス
subdictionary,副辞書
subdirectory tree,サブディレクトリツリー
subdirectory,サブディレクトリ
subdomains,サブドメイン
subfield,サブフィールド
subject,サブジェクト
subnet address,サブネットアドレス
subnet,サブネット
subpackage,サブパッケージ
subplan,サブプラン
subprocess,サブプロセス
subquery,サブクエリ
subquery,副問い合わせ
subroutine,サブルーチン
subsections,サブセクション
subselects,サブセレクト
subset,サブセット
subsystem,サブシステム
subtransaction block,サブトランザクションブロック
subtransaction manager,サブトランザクションマネージャ
subtransaction,サブトランザクション
subtree's key,副ツリーキー
subtree,サブツリー
subtype,派生元型
Sudan,スーダン
suffix,サフィックス
suffix,接尾辞
suite,スィート
suite,スイート
sum,総和
summary table,サマリテーブル
super user,スーパーユーザー
super,スーパー
super-user,スーパユーザ
supernet,スーパーネット
supertable,スーパーテーブル
superuser role,スーパーユーザロール
superuser,スーパーユーザ
superuser,スーパユーザ
supplied,提供される
support files,サポートファイル
support method,サポートメソッド
support procedure,サポートプロシージャ
support routine,サポートルーチン
support routines,サポートルーチン
support scripts,サポートスクリプト
support site,サポートサイト
support utilities,サポートユーティリティ
support,サポート
surrogate pairs,サロゲートペア
swap,スワップ
swapping,スワッピング
Sweden,スウェーデン
switch file,スイッチファイル
switch,スイッチ
switch-over,スイッチオーバ
Switzerland,スイス
symbol table,シンボルテーブル
symbol,シンボル
symbolic link,シンボリックリンク
synchronous multimaster replication,同期マルチマスタレプリケーション
synchronous replication,同期レプリケーション
synchronous,同期的
syntax,構文
Syria,シリア
system access controls,システムアクセスコントロール
system backup mode,システムバックアップモード
system call,システム・コール
system call,システムコール
system catalog schema,システムカタログスキーマ
system catalog tables,システムカタログテーブル
system catalog,システムカタログ
system catalogs,システムカタログ
system column,システムカラム
system columns,システム列
system compiler,システムコンパイラ
system crash,システムクラッシュ
system data,システムデータ
system database,システムデータベース
system default,システムデフォルト
system error,システムエラー
system index,システムインデックス
system objects,システムオブジェクト
system patch levels,システムパッチレベル
system relations,システムリレーション
system resource,システムリソース
system schema,システムスキーマ
system sequences,システムシーケンス
system software,システムソフトウェア
system status indicators,システムステータスインジケータ
system table,システムテーブル
system triggers,システムトリガ
system user,システムユーザ
system view,システムビュー
system,システム
tab stop,タブストップ
tab,タブ
table access,テーブルアクセス
table column,テーブル・カラム
table data,テーブルデータ
table expression,テーブル式
table file,テーブルファイル
table level lock,テーブルレベルロック
table level,テーブルレベル
table list,テーブルリスト
table lock,テーブルロック
table mapping,テーブルマッピング
table of contents,目次
table page,テーブルページ
table partitioning,テーブルパーティショニング
table scan,テーブルスキャン
table schema,テーブルスキーマ
table size,テーブルサイズ
table sources,テーブルソース
table,テーブル
table,表
table-level lock modes,テーブルレベルロックモード
table-level locking,テーブルレベルロック
table-level,テーブルレベル
tables' filenode,テーブルファイルノード
tablespace options,テーブルスペースオプション
tablespace,テーブルスペース
tablespace,テーブル空間
tag,タグ
tape,テープ
tarballs,tarボール
target file,ターゲットファイル
target list,ターゲットリスト
target,ターゲット
task scheduler,タスクスケジューラ
task,タスク
team,チーム
technique,テクニック
template data,テンプレートデータ
template database,テンプレートデータベース
template pattern,テンプレートパターン
template,テンプレート
temporary table,一時テーブル
terabyte,テラバイト
terminal,ターミナル
TERSE,TERSE
test case,テストケース
test data,テストデータ
test files,テストファイル
test program,テストプログラム
test script,テストスクリプト
test suite,テストスィート
test suite,テストスイート
test,テスト
text data,テキストデータ
text domain,テキストドメイン
text editor,テキストエディタ
text field,テキストフィールド
text file,テキストファイル
text index,テキストインデックス
text mode,テキストモード
text object,テキストオブジェクト
text parameter,テキストパラメータ
text search configurations,テキスト検索設定
text search dictionaries,テキスト検索辞書
text search parsers,テキスト検索パーサ
text search templates,テキスト検索テンプレート
text search,テキストサーチ
text search,テキスト検索
text,テキスト
textual label,テキストラベル
textual sort order,テキストソート順
textual,テキスト
Thai,タイ語
The Autovacuum Daemon,自動バキュームデーモン
The core database system,コアデータベースシステム
The default port,デフォルトポート
The file system level,ファイルシステムレベル
The host program,ホストプログラム
the installation instructions,インストールマニュアル
The main database engine,メインデータベースエンジン
The main server process,メインサーバプロセス
The main server,メインサーバ
The main table,メインテーブル
The master server process,マスタサーバプロセス
The message text,メッセージテキスト
The operating system level,オペレーティングシステムレベル
The primary key field,プライマリキーフィールド
The relation tuples,リレーションタプル
The Rule System,ルールシステム
The system path,システムパス
the system statistics,システム統計
The zero mask,ゼロマスク
Thesaurus,シソーラス
Third-party applications,サードパーティアプリケーション
Third-party,サードパーティ
thread flags,スレッドフラグ
Thread,スレッド
thread-safe,スレッドセーフ
threaded applications,スレッドアプリケーション
throughput,スループット
ticket file,チケットファイル
ticket files,チケットファイル
ticket,チケット
TID,TID
tight,厳しめの
tilde user,チルダユーザ
tilde,チルダ
tilde,ティルダ
Time stamp counter,タイムスタンプカウンタ
Time stamp,タイムスタンプ
time travel,time travel
time travel,タイムトラベル
time zone data files,タイムゾーンデータファイル
time zone database,タイムゾーンデータベース
time zone,タイムゾーン
Timeline switch,タイムラインスイッチ
timeline,タイムライン
timelines,タイムライン
timeout,タイムアウト
Timer,タイマー
Timestamp,タイプスタンプ
timezone offset,タイムゾーンオフセット
timezone,タイムゾーン
Timing overhead,タイミング・オーバーヘッド
Timing,タイミング
tips,コツ
Tips,性能に関するヒントPerformance
title,タイトル
TOAST,TOAST
Toast,トースト
TODO,TODO
Tokelau Islands,トケラウ諸島
Token ring,トークンリング
Token text,トークンテキスト
token,トークン
tokens,トークン
tool set,ツールセット
Tool,ツール
toolchain,ツールチェイン
Top level,トップレベル
Top,トップ
Topic,トピック
trace,トレース
trace,追跡
Traceback,トレースバック
Trade-off,トレードオフ
Traffic,トラフィック
transaction block,トランザクションブロック
transaction commit,トランザクションコミット
transaction counter,トランザクションカウンタ
transaction data,トランザクションデータ
transaction ID wraparound,トランザクションIDの周回
transaction isolation,トランザクションの分離
transaction level,トランザクションレベル
transaction locks,トランザクションロック
transaction log file,トランザクションログファイル
transaction log record,トランザクションログレコード
transaction log shipping,トランザクションログシッピング
transaction log,トランザクションログ
transaction manager,トランザクションマネージャ
transaction rate,トランザクションレート
transaction records,トランザクションレコード
transaction rollback,トランザクションロールバック
transaction script files,トランザクションスクリプトファイル
transaction script,トランザクションスクリプト
transaction snapshot,トランザクションスナップショット
transaction support,トランザクションサポート
transaction system,トランザクションシステム
transaction table,トランザクションテーブル
transaction throughput,トランザクションスループット
transaction,トランザクション
transaction-safe,トランザクションセーフ
transactional,トランザクショナル
transactions,トランザクション
transform function,変形関数
transformation process,書き換えプロセス
transformation process,変換プロセス
translation,翻訳
tree data,ツリーデータ
tree index,ツリーインデックス
tree level,ツリーレベル
tree list,ツリーリスト
tree node,ツリーノード
tree page,ツリーページ
tree structure,木構造
tree,ツリー
Trent,トレント
trigger data,トリガデータ
trigger event lists,トリガイベントリスト
trigger event,トリガイベント
trigger file,トリガファイル
trigger level,トリガレベル
trigger manager,トリガマネージャ
trigger parameters,トリガパラメータ
trigger procedures,トリガプロシージャ
trigger programmer,トリガプログラマ
trigger,トリガ
trigger,トリガー
trigger-based,トリガベース
trigram,トライグラム
trigram,トリグラム
trigraph,トリグラフ
Trojan horse,トロイの木馬
Trouble,トラブル
trusted procedure,トラステッド・プロシージャ
trusted procedure,トラステッド・プロシジャ
trusted procedure,トラステッドプロシジャ
trusted,トラステッド
try,トライ
tuning,チューニング
tunisia,チュニジア
tunnel,トンネル
tuple descriptor,タプルディスクリプタ
tuple field,タプルフィールド
tuple headers,タプルヘッダ
tuple identifiers,タプル識別子
tuple index,タプルインデックス
tuple locks,タプル・ロック
tuple relational calculus,タプルリレーショナル理論
tuple relational calculus,タプルリレーショナル論理
tuple table slot,タプルテーブルスロット
tuple table,タプルテーブル
tuple,タプル
tuple-level,タプルレベル
tuples,タプル
tuplestores,タプルストア
tupple,タプル
Turing-complete language,チューリング完備言語
Turkey,トルコ
tutorial directory,チュートリアルディレクトリ
tutorial,チュートリアル
two-phase commit,二相コミット
type,タイプ
type,型
typecast,型変換
typo,タイポ
U.S. letter,U.S.レター
Ukraine,ウクライナ
unary operator,単項演算子
Unbound cursor,アンバウンドカーソル
Unbound,アンバウンド
unbound,アンバウンド
underflow error,アンダーフローエラー
underflow,アンダーフロー
underscore,アンダースコア
unescaping,アンエスケープ
Unicode escape,ユニコードエスケープ
Unicode,Unicode
Unicode,ユニコード
Uninstall script,アンインストールスクリプト
Uninstall,アンインストール
union,ユニオン
union,和
unique constraints,一意性制約
unique index,一意インデックス
unique indexes,一意性インデックス
Unique,ユニーク
unique,一意な
Unit,ユニット
United kingdom,イギリス
Universal database,ユニバーサルデータベース
Unix domain socket,Unix ドメインソケット
Unix emulation toolkit,Unixエミュレーションツールキット
unload,アンロード
unmounting,アンマウント
unqualified names,非修飾名
updatable views,更新可能ビュー
update script,更新スクリプト
update scripts,更新スクリプト
update,アップデート
update,更新
upgrade script,アップグレードスクリプト
upgrade,アップグレード
Use Case,ユースケース
user account,ユーザアカウント
user applications,ユーザアプリケーション
user callback,ユーザコールバック
user command,ユーザコマンド
user community,ユーザコミュニティ
user data files,ユーザデータファイル
user data,ユーザデータ
user database,ユーザデータベース
user guide,ユーザガイド
user header files,ユーザヘッダファイル
user indexes,ユーザインデックス
user interface,ユーザインターフェイス
user interface,ユーザインタフェース
user key,ユーザキー
user locale,ユーザロケール
user lock,ユーザロック
user manual,ユーザマニュアル
user mapping option,ユーザマッピングオプション
user mapping,ユーザマッピング
user objects,ユーザオブジェクト
user password,ユーザパスワード
user principal,ユーザプリンシパル
user qualification,ユーザ資格
user roles,ユーザロール
user sequences,ユーザシーケンス
user sessions,ユーザセッション
user sites,ユーザサイト
user table,ユーザテーブル
user triggers,ユーザトリガ
user,ユーザ
user,ユーザー
user-defined,ユーザ定義の
user-friendly,ユーザフレンドリ
user-level,ユーザレベル
usermap parameter,ユーザマップパラメータ
usermap,ユーザマップ
utility command,ユーティリティコマンド
utility program,ユーティリティプログラム
utility,ユーティリティ
UUID,UUID
vacuum cleanup record,バキュームクリーンアップレコード
vacuum options,バキュームオプション
vacuum overhead,バキュームオーバーヘッド
vacuum,バキューム
vacuuming,バキューム処理
validation,バリデーション
validator,バリデータ
validator,有効性検証関数
value store,バリューストア
variable variables,可変変数
variable,変数
variation,バリエーション
varlena,varlena
vector,ベクタ
vector,ベクター
vector,ベクトル
vendor,ベンダ
vendor,ベンダー
Venezuela,ベネズエラ
VERBOSE,VERBOSE
version upgrades,バージョンアップ
version,バージョン
Vienna University of Technology,ウィーン工科大学
Vietnamese,ベトナム語
view definition query,ビュー定義の問い合わせ
view definition,ビュー定義
view relation,ビューリレーション
view rules,ビュールール
view trigger procedure,ビュートリガプロシージャ
view updates,ビューの更新
view,ビュー
views,ビュー
virtual relation,仮想リレーション
virtual table,仮想テーブル
virtual table,仮想的なテーブル
visibility map,可視性マップ
visible,可視
volatility,変動性
Volgograd,ヴォルゴグラード
volume,ボリューム
volunteers,ボランティア
VPATH,VPATH
WAL archiver,WALアーカイバ
wal block size,walブロック容量
WAL file archiving,WALファイルアーカイブ
wal segment size,walセグメント容量
Wally,ウィリー
warm standby server,ウォームスタンバイサーバ
warm standby slave servers,ウォームスタンバイスレーブサーバ
warm standby,ウォームスタンバイ
warm-standby script,ウォームスタンバイスクリプト
warning,ワーニング
weak,弱めの
web pages,ウェブページ
web server,ウェブサーバ
Web Site,Webサイト
Web,ウェブ
website,ウェブサイト
weight,ウェイト
weight,重み
white space,空白文字
wiki,wiki
wildcard pattern,ワイルドカードパターン
wildcard server certificates,ワイルドカードサーバ証明書
wildcard,ワイルドカード
window frame,ウィンドウフレーム
window function call,ウィンドウ関数呼び出し
window function,ウィンドウ関数
window functions,ウィンドウ関数
Windows operating system service,Windowsオペレーティングシステムサービス
Windows,Windows
wired,ワイアード
word,ワード
work Around,ワークアラウンド
worker process,ワーカプロセス
worker threads,ワーカスレッド
worker,ワーカ
worker,ワーカー
working table,作業テーブル
workstation,ワークステーション
wrap,ラップ
